EDJ-MED-976da9a6-1_1 EDJ-MED-a364e151-1_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-a364e151-1_1 EDJ-MED-976da9a6-1_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-976da9a6-1_1 EDJ-MED-c8e7a002-12_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-12_1 EDJ-MED-976da9a6-1_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-15_1 EDJ-MED-c8e7a002-16_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-16_1 EDJ-MED-c8e7a002-15_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-15_1 EDJ-MED-c8e7a002-14_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-14_1 EDJ-MED-c8e7a002-15_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-50fe53e8-1_1 EDJ-MED-00c1612e-1_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-00c1612e-1_1 EDJ-MED-50fe53e8-1_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-50fe53e8-1_1 EDJ-MED-a364e151-1_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-a364e151-1_1 EDJ-MED-50fe53e8-1_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-00c1612e-1_1 EDJ-MED-50fe53e8-2_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-50fe53e8-2_1 EDJ-MED-00c1612e-1_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-2_1 EDJ-MED-c8e7a002-14_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-14_1 EDJ-MED-c8e7a002-2_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-a364e151-1_1 EDJ-MED-c8e7a002-12_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-12_1 EDJ-MED-a364e151-1_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-a364e151-1_1 EDJ-MED-50fe53e8-2_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-50fe53e8-2_1 EDJ-MED-a364e151-1_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-10_1 EDJ-MED-c8e7a002-4_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-4_1 EDJ-MED-c8e7a002-10_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-12_1 EDJ-MED-c8e7a002-4_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-4_1 EDJ-MED-c8e7a002-12_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-16_1 EDJ-MED-c8e7a002-14_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-14_1 EDJ-MED-c8e7a002-16_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
